"Alpha Beta Technologies, Inc. - PES"							
Labor Category	Site	2/17/2017 - 2/16/2018	2/17/2018 - 2/16/2019	2/17/2019 - 2/16/2020	2/17/2020 - 2/16/2021	2/17/2021 - 2/16/2022	2/17/2022 - 2/16/2023
Engineer I	On	103.07	106.16	109.35	112.63	116.01	119.49
Engineer II	On	112.91	116.3	119.79	123.37	127.07	130.88
Junior Engineer	On	85.32	87.87	90.51	93.23	96.03	98.91
Programmer Analyst I	On	54.85	56.5	58.2	59.94	61.74	63.59
Programmer Analyst II	On	95.6	98.46	101.42	104.46	107.59	110.82
Senior Engineer I	On	120.96	124.59	128.32	132.17	136.14	140.22
Senior Engineer III	On	148.49	152.95	157.54	162.26	167.13	172.14
Senior Engineer/Scientist	On	176.65	181.95	187.41	193.03	198.82	204.79
Software Engineer II	On	147.27	151.69	156.24	160.93	165.76	170.73
Technical Specialist	On	89.17	91.85	94.6	97.44	100.36	103.37
