"Aegis Technologies Group, Inc., The - PES"							
Labor Category	Site	8/26/2011 - 8/25/2012	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	
Admin II	Off	46.84	48.52	49.01	50.61	52.25	
Admin II	On	42.9	44.44	47.13	48.66	50.24	
Admin III	Off	58.11	60.21	60.82	62.79	64.83	
Admin III	On	51.46	53.31	56.54	58.38	60.28	
Engineer/Scientist I	On		56.15	59.56	61.5	63.5	
Engineer/Scientist II	On	68.86	71.34	75.66	78.12	80.66	
Engineer/Scientist II	Off	84.57	87.61	88.49	91.37	94.34	
Engineer/Scientist III	On	84.86	87.91	93.24	96.27	99.4	
Engineer/Scientist IV	On	100.64	104.27	110.59	114.18	117.89	
Engineer/Scientist V	On		124.7	132.25	136.55	140.99	
Engineer/Scientist V	Off	147.82	153.13	154.68	159.71	164.9	
Program Analyst I	On	62.39	64.64	68.56	70.79	73.09	
Program Analyst I	Off	67.21	69.63	70.33	72.61	74.97	
Program Analyst III	On	91.98	95.29	101.06	104.34	107.73	
Program Analyst IX	On	143.41	148.57	157.58	162.7	167.99	
Program Analyst V	On	104.26	108.01	114.56	118.28	122.12	
Program Analyst VI	Off	137.12	142.07	143.5	148.16	152.98	
Program Analyst VII	On	115.52	119.69	126.94	131.07	135.33	
Program Analyst VIII	On	124.81	129.3	137.14	141.6	146.2	
Program Analyst VIII	Off	153.26	158.79	160.39	165.6	170.98	
Program Manager II	Off	164.26	170.17	171.89	177.48	183.25	
Senior Engineer/ Scientist I	On		140.71	149.23	154.08	159.09	
Senior Engineer/ Scientist I	Off	163.82	169.72	171.43	177	182.75	
Senior Engineer/ Scientist II	On		162.04	171.86	177.45	183.22	
Senior Engineer/ Scientist II	Off	192.07	198.99	201	207.53	214.27	
Senior Engineer/Scientist III	Off	208.94	216.46	218.65	225.76	233.1	
Senior Engineer/Scientist III	On	170.14	176.27	186.95	193.03	199.3	
							
"Analytix, LLC - PES"							
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017		
Admin I	Off	35.07	35.42	36.57	37.76		
Admin I	On	28.56	30.29	31.27	32.29		
Admin II	Off	48.52	49.01	50.61	52.25		
Admin II	On	44.44	47.13	48.66	50.24		
Admin III	On	53.31	56.54	58.38	60.28		
Admin III	Off	60.21	60.82	62.79	64.83		
Engineer/Scientist I	On	56.15	59.56	61.5	63.5		
Engineer/Scientist I	Off	68.96	69.66	71.92	74.26		
Engineer/Scientist II	On	71.34	75.66	78.12	80.66		
Engineer/Scientist II	Off	87.61	88.49	91.37	94.34		
Engineer/Scientist III	On	87.91	93.24	96.27	99.4		
Engineer/Scientist IV	On	104.27	110.59	114.18	117.89		
Engineer/Scientist V	On	124.7	132.25	136.55	140.99		
Program Analyst I	On	64.64	68.56	70.79	73.09		
Program Analyst I	Off	69.63	70.33	72.61	74.97		
Program Analyst III	On	95.29	101.06	104.34	107.73		
Program Analyst IV	On	99.75	105.8	109.24	112.79		
Program Analyst IX	On	148.57	157.58	162.7	167.99		
Program Analyst IX	Off	182.46	184.3	190.29	196.47		
Program Analyst V	On	108.01	114.56	118.28	122.12		
Program Analyst VI	On	115.69	122.7	126.69	130.81		
Program Analyst VII	On	119.68	126.94	131.07	135.33		
Program Analyst VIII	On	129.3	137.14	141.6	146.2		
Program Manager II	Off	170.17	171.89	177.48	183.25		
Senior Engineer/ Scientist I	On	140.71	149.23	154.08	159.09		
Senior Engineer/ Scientist I	Off	169.72	171.43	177	182.75		
Senior Engineer/ Scientist II	On	162.04	171.86	177.45	183.22		
Senior Engineer/ Scientist II	Off	198.99	201	207.53	214.27		
Senior Engineer/ Scientist IV	On	227.47	241.26	249.1	257.2		
Senior Engineer/ Scientist IV	Off	279.36	282.18	291.35	300.82		
Senior Engineer/Scientist III	On	176.27	186.95	193.03	199.3		
Senior Engineer/Scientist III	Off	216.46	218.65	225.76	233.1		
Tech I	On	44.69	47.39	48.93	50.52		
Tech II	On	56.29	59.7	61.64	63.64		
							
"Applied Analytical Solutions, Inc. (AASI) - PES"							
Labor Category	Site	8/26/2011 - 8/25/2012	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	
Engineer/Scientist III	On		87.91	93.24	96.27	99.4	
Program Analyst IV	On	91.47	94.22	99.95	102.95	106.03	
Program Analyst IX	Off	167.31	172.33	182.82	188.31	193.96	
Program Analyst IX	On	136.24	140.34	148.88	153.35	157.94	
Program Analyst V	On	99.05	102.01	108.23	111.47	114.82	
Program Analyst VII	On	109.75	113.04	119.93	123.53	127.23	
Program Analyst VIII	Off	145.6	149.97	159.11	163.88	168.8	
Program Analyst VIII	On	118.56	122.12	129.56	133.44	137.45	
Senior Engineer/ Scientist I	On	129.03	132.91	141	145.23	149.58	
Senior Engineer/ Scientist I	Off	155.62	160.29	170.05	175.15	180.41	
Senior Engineer/ Scientist II	On	148.59	153.05	162.38	167.25	172.27	
Senior Engineer/ Scientist II	Off		198.99	201	207.53	214.27	
Senior Engineer/Scientist III	On	161.63	166.47	176.61	181.91	187.37	
							
"Avion Solutions, Inc. - PES"							
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017		
Admin II	Off	48.52	49.01	50.61	52.25		
Engineer/Scientist I	On	56.15	59.56	61.5	63.5		
Engineer/Scientist I	Off	68.96	69.66	71.92	74.26		
Engineer/Scientist II	On	71.34	75.66	78.12	80.66		
Engineer/Scientist II	Off	87.61	88.49	91.37	94.34		
Engineer/Scientist III	On	87.91	93.24	96.27	99.4		
Engineer/Scientist IV	On	104.27	110.59	114.18	117.89		
Engineer/Scientist V	On	124.7	132.25	136.55	140.99		
Program Analyst I	Off	69.63	70.33	72.61	74.97		
Program Analyst I	On	64.64	68.56	70.79	73.09		
Program Analyst III	On	95.29	101.06	104.34	107.73		
Program Analyst IV	On	99.75	105.8	109.24	112.79		
Program Analyst V	On	108.01	114.56	118.28	122.12		
Program Analyst VI	On	115.69	122.7	126.69	130.81		
Program Analyst VII	On	119.68	126.94	131.07	135.33		
Program Analyst VIII	On	129.3	137.14	141.6	146.2		
Senior Engineer/ Scientist I	Off	169.72	171.43	177	182.75		
Senior Engineer/ Scientist I	On	140.71	149.23	154.08	159.09		
Senior Engineer/ Scientist II	On	162.04	171.86	177.45	183.22		
Senior Engineer/ Scientist II	Off	198.99	201	207.53	214.27		
Tech II	On	56.29	59.7	61.64	63.64		
							
"BFA Systems, Inc. - PES"							
Labor Category	Site	7/12/2012 - 7/11/2013	7/12/2013 - 7/11/2014	7/12/2014 - 7/11/2015	7/12/2015 - 7/11/2016	7/12/2016 - 7/11/2017	7/12/2017 - 7/11/2018
Administrative IV*	Off	56.59	58.29	60.04	61.84	63.7	65.61
Engineer/Analyst I	On	55.78	57.46	59.18	60.96	62.78	64.67
Engineer/Analyst III	On	75.07	77.32	79.64	82.03	84.49	87.03
Engineer/Analyst IV	On	85.23	87.78	90.42	93.13	95.92	98.8
Engineer/Analyst VI	On	114.22	117.64	121.17	124.81	128.55	132.41
Engineer/Analyst VIII	Off	144.92	149.27	153.74	158.36	163.11	168
Engineer/Analyst VIII	On	126.8	130.6	134.52	138.56	142.71	146.99
Software Developer/Programmer II	On	75.95	78.23	80.58	82.99	85.48	88.05
Software Developer/Programmer III	On	81.37	83.81	86.33	88.92	91.58	94.33
Systems Ops Research Analyst IV	On	88.92	91.58	94.33	97.16	100.08	103.08
Systems Ops Research Analyst IV	Off	101.62	104.67	107.81	111.04	114.37	117.8
							
Camber Corporation - PES							
Labor Category	Site	8/9/2011 - 8/8/2012	8/9/2012 - 8/8/2013	8/9/2013 - 8/8/2014	8/9/2014 - 1/21/2016	1/22/2016 - 1/21/2017	1/22/2017 - 1/21/2018
Administrative Support-0*	Off	41.88	43.13	44.42	45.76	47.13	48.55
Administrative Support-8	Off	66.51	68.51	70.56	72.67	74.85	77.1
Administrator/Property-5	On	67.11	69.12	71.19	73.33	75.52	77.79
Consultant/SME-5	Off	183.78	189.3	194.97	200.82	206.85	213.06
Consultant/SME-5	On	153.82	158.43	163.19	168.08	173.12	178.31
Engineer/Scientist-0	On	51.55	53.1	54.69	56.34	58.02	59.76
Engineer/Scientist-12	On	122.3	125.98	129.76	133.65	137.66	141.79
Engineer/Scientist-12	Off	142.79	147.08	151.49	156.04	160.73	165.55
Engineer/Scientist-15	Off	155.52	160.18	164.99	169.93	175.03	180.28
Engineer/Scientist-15	On	130.14	134.04	138.06	142.21	146.48	150.87
Engineer/Scientist-5	Off	93.58	96.39	99.28	102.26	105.33	108.5
Engineer/Scientist-5	On	80.16	82.56	85.04	87.59	90.21	92.92
Engineer/Scientist-9	Off	119.99	123.59	127.3	131.12	135.05	139.1
Engineer/Scientist-9	On	102.81	105.89	109.07	112.34	115.71	119.18
Program Manager	Off	166.55	171.55	176.69	181.99	187.44	193.07
Scientific Programmer-3	Off	72.51	74.69	76.93	79.24	81.61	84.06
Scientific Programmer-3	On	62.1	63.97	65.88	67.86	69.9	71.99
Scientific Programmer-5	On	78.68	81.04	83.48	85.99	88.57	91.22
Scientific Programmer-5	Off	91.86	94.61	97.45	100.37	103.38	106.49
Scientific Programmer-8	On	96.61	99.5	102.49	105.56	108.72	111.98
Scientific Programmer-8	Off	112.79	116.18	119.67	123.26	126.95	130.77
Task Order/Project Leader	On	124.4	128.13	131.97	135.93	140.01	144.21
Technical Analyst - 2	On	60.58	62.39	64.27	66.19	68.18	70.22
Technical Analyst - 2	Off	70.75	72.87	75.05	77.3	79.63	82.01
Technical Analyst-12	Off	131.34	135.27	139.33	143.51	147.82	152.25
Technical Analyst-12	On	112.48	115.86	119.33	122.92	126.6	130.4
Technical Analyst-15	On	123.27	126.97	130.78	134.7	138.74	142.9
Technical Analyst-15	Off	143.92	148.24	152.68	157.26	161.98	166.84
Technical Analyst-4	Off	94.49	97.32	100.24	103.25	106.35	109.54
Technical Analyst-4	On	80.91	83.34	85.84	88.41	91.07	93.79
Technical Analyst-8	On	98.13	101.07	104.1	107.23	110.44	113.75
Technical Analyst-8	Off	114.6	118.03	121.57	125.22	128.97	132.85
							
"CAS, Inc. - PES"							
Labor Category	Site	10/4/2011 - 10/3/2012	10/4/2012 - 10/3/2013	10/4/2013 - 10/3/2014	10/4/2014 - 10/3/2015	10/4/2015 - 10/3/2016	10/4/2016 - 10/3/2017
Engineer/Scientist II	On			50.99	52.57	54.2	55.88
Engineer/Scientist V	Off	80.46	82.95	85.52	88.17	90.9	93.72
Engineer/Scientist V	On	70.53	72.72	74.97	77.29	80	82.8
Engineer/Scientist VI	On	81.62	84.15	86.76	89.45	92.58	95.82
Engineer/Scientist X	On	106.45	109.75	113.15	116.66	120.74	124.97
Engineer/Scientist XI	On	135.63	139.83	144.16	148.63	153.83	159.21
Engineer/Scientist XI	Off	154.73	159.53	164.48	169.58	174.84	187.67
Program/Systems Analyst I	On			47.37	48.84	50.35	51.91
Program/Systems Analyst III	On	65.05	67.07	69.15	71.29	73.79	76.37
Program/Systems Analyst IV	On	78.37	80.8	83.3	85.88	88.8	91.91
Program/Systems Analyst V	On	98.67	101.73	104.88	108.13	111.91	115.83
Program/Systems Analyst V	Off	112.56	116.05	119.65	123.36	127.18	131.12
Technician III	On	52.61	54.24	55.92	57.65	59.67	61.76
							
"Cole Engineering Services, Inc. - PES"							
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017		
Admin I	Off	35.07	35.42	36.57	37.76		
Admin II	Off	48.52	49.01	50.61	52.25		
Admin III	Off	60.21	60.82	62.79	64.83		
Engineer/Scientist I	Off	68.96	69.66	71.92	74.26		
Engineer/Scientist II	Off	87.61	88.49	91.37	94.34		
Program Analyst I	Off	69.63	70.33	72.61	74.97		
Program Analyst IX	Off	182.46	184.3	190.29	196.47		
Program Manager II	Off	170.17	171.89	177.48	183.25		
Senior Engineer/ Scientist I	Off	169.72	171.43	177	182.75		
Senior Engineer/ Scientist II	Off	198.99	201	207.53	214.27		
Senior Engineer/ Scientist IV	Off	279.36	282.18	291.35	300.82		
