"Aegis Technologies Group, Inc., The - PES"									
Labor Category	Site	10/28/2012 - 10/27/2013	10/28/2013 - 2/5/2015	2/6/2015 - 4/11/2016	4/12/2016 - 10/28/2017	10/29/2017 - 3/31/2018	4/1/2018 - 3/31/2019	4/1/2019 - 3/31/2020	
Administrative Support	Off	53.17	54.23	56.41	58.1	59.84	61.64	63.49	
Engineer II	On	58.87	60.05	62.46	64.33	66.26	68.25	70.3	
Engineer III	On	71.46	72.89	75.81	78.08	80.42	82.83	85.31	
Modeling and Simulation Specialist I	On	86.09	87.81	91.33	94.07	96.89	99.8	102.79	
Modeling and Simulation Specialist II	On	107.26	109.4	113.79	117.2	120.72	124.34	128.07	
Program Manager I	Off	149.72	152.71	158.84	163.61	168.52	173.58	178.79	
Program Manager III	On	148.28	151.25	157.31	162.03	166.89	171.9	177.06	
Research Scientist II	On	139.67	142.47	148.18	152.63	157.21	161.93	166.79	
Research Scientist III	On	158.14	161.3	167.77	172.8	177.98	183.32	188.82	
Subject Matter Expert I	On	111.21	113.44	117.99	121.53	125.18	128.94	132.81	
Subject Matter Expert II	On	125.95	128.47	133.62	137.63	141.76	146.01	150.39	
Subject Matter Expert III	On	182.03	185.67	193.11	198.9	204.87	211.02	217.35	
Terrain Developer	Off	112.71	114.96	119.57	123.16	126.85	130.66	134.58	
Visual Engineer	Off	131.49	134.12	139.49	143.67	147.98	152.42	156.99	
Web/Graphics Designer I	Off	62.81	64.06	66.63	68.63	70.69	72.81	74.99	
									
"Applied Analytical Solutions, Inc. (AASI) - PES"									
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019		
Engineer/Scientist I	On	56.15	59.56	61.5	63.5	65.56	67.69		
Engineer/Scientist II	On	71.34	75.66	78.12	80.66	83.28	85.99		
Engineer/Scientist III	On	87.91	93.24	96.27	99.4	102.63	105.97		
Program Analyst V	On	108.01	114.56	118.28	122.12	126.09	130.19		
Program Analyst VI	On	115.69	122.7	126.69	130.81	135.06	139.45		
Program Analyst VII	On	119.68	126.94	131.07	135.33	139.73	144.27		
Program Analyst VIII	On	129.3	137.14	141.6	146.2	150.95	155.86		
Senior Engineer/ Scientist I	On	140.71	149.23	154.08	159.09	164.26	169.6		
Senior Engineer/ Scientist II	On	162.04	171.86	177.45	183.22	189.17	195.32		
Senior Engineer/Scientist III	On	176.27	186.95	193.03	199.3	205.78	212.47		
									
"BFA Systems, Inc. - PES"									
Labor Category	Site	7/12/2012 - 7/11/2013	7/12/2013 - 7/11/2014	7/12/2014 - 7/11/2015	7/12/2015 - 7/11/2016	7/12/2016 - 7/11/2017	7/12/2017 - 7/11/2018	7/12/2018 - 7/11/2019	
Engineer/Analyst II	On	59.76	61.44	63.16	64.92	66.74	68.61	70.53	
Engineer/Analyst V	On	102.8	105.68	108.64	111.68	114.81	118.03	121.33	
Engineer/Analyst VII	On	118.42	121.73	125.14	128.65	132.25	135.95	139.76	
Engineer/Analyst X	On	153.19	157.48	161.89	166.43	171.09	175.88	180.8	
Logistics Analyst II	On	58.9	60.55	62.24	63.99	65.78	67.62	69.51	
Logistics Analyst VII	On	98.8	101.57	104.41	107.33	110.34	113.43	116.61	
Software Developer/Programmer II	On	75.9	78.03	80.21	82.46	84.76	87.14	89.58	
Software Developer/Programmer V	On	104.25	107.17	110.17	113.26	116.43	119.69	123.04	
Sr Management/Technical Staff III	On	130.93	134.6	138.37	142.24	146.22	150.32	154.53	
Subect Matter Expert I	On	175.96	180.89	185.95	191.16	196.51	202.01	207.67	
									
"Brockwell Technologies, Inc. - PES"									
Labor Category	Site	1/31/2012 - 7/1/2013	7/2/2013 - 7/11/2014	7/12/2014 - 7/1/2015	7/2/2015 - 7/1/2016	7/2/2016 - 7/1/2017	7/2/2017 - 7/1/2018	7/2/2018 - 7/1/2019	
Engineer/Analyst 1	On	57.19	58.22	59.67	61.17	62.7	64.27	65.88	
Engineer/Analyst 2	On	67.5	68.71	70.43	72.2	74	75.85	77.76	
Engineer/Analyst 3	On	84.38	85.9	88.05	90.25	92.51	94.82	97.18	
Jr. Engineer/Analyst 3	On	46.88	47.72	48.92	50.14	51.39	52.67	53.99	
Sr. Engineer/Analyst 2	On	105.36	106.9	109.58	112.32	115.12	118	120.95	
Sr. Engineer/Analyst 3	On	111.35	113.36	116.19	119.1	122.07	125.13	128.26	
Sr. Engineer/Analyst 5	On	123.11	125.33	128.46	131.68	134.97	138.34	141.8	
Subject Matter Expert 1	On	136.29	138.74	142.21	145.77	149.41	153.14	156.97	
Technical Specialist 3	On	54.38	55.36	56.75	58.16	59.62	61.11	62.64	
Technical Specialist 4	On	69.76	71.01	72.79	74.61	76.47	78.39	80.35	
									
Camber Corporation - PES									
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019		
Admin II	On	41.3	44.33	45.92	47.57	49.28	51.06		
Admin II	Off	48.52	49.01	50.61	52.25	53.95	55.7		
Program Analyst I	On	55.5	59.57	61.71	63.93	66.23	68.62		
Program Analyst IV	On	75.57	81.11	84.03	87.05	90.19	93.44		
Program Analyst VIII	On	104.49	112.14	116.18	120.37	124.7	129.19		
Tech II	On	52.31	56.15	58.17	60.27	62.44	64.69		
									
Camber Corporation - IT									
Labor Category	Site	12/11/2012 - 12/10/2013	12/11/2013 - 12/10/2014	12/11/2014 - 12/10/2015	12/11/2015 - 12/10/2016	12/11/2016 - 12/10/2017	12/11/2017 - 12/10/2018	12/11/2018 - 12/10/2019	
Entry Level Engineer	On	54.98	56.77	57.85	58.95	60.07	61.21	62.43	
IT Analyst/Engineer III	On	70.85	73.69	76.63	79.7	82.89	86.2	89.64	
IT Analyst/Engineer IV	On	76.62	79.69	82.88	86.19	89.64	93.23	96.96	
IT Analyst/Engineer V	On	84.21	87.58	91.08	94.72	98.52	102.46	106.56	
IT Analyst/Engineer VI	On	94.67	98.46	100.69	102.6	104.55	106.54	108.67	
IT Analyst/Engineer VIII	On	125.02	125.45	127.83	130.26	132.73	135.25	137.96	
									
"CAS, Inc. - PES"									
Labor Category	Site	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019		
Admin I	Off	31.88	34.22	35.45	36.73	38.05	39.42		
Admin II	Off	48.52	49.01	50.61	52.25	53.95	55.7		
Engineer/Scientist II	Off	79.64	85.48	88.56	91.75	95.05	98.47		
Engineer/Scientist III	Off	98.15	105.35	109.14	113.08	117.14	121.37		
Engineer/Scientist III	On	87.91	93.24	96.27	99.4	102.63	105.97		
Engineer/Scientist IV	Off	116.41	124.94	129.44	134.1	138.92	143.93		
Engineer/Scientist V	Off	139.21	149.42	154.8	160.37	166.14	172.13		
Program Analyst I	Off	69.63	70.33	72.61	74.97	77.41	79.93		
Program Analyst III	On	95.29	101.06	104.34	107.73	111.23	114.84		
Program Analyst IV	Off	111.37	119.52	123.82	128.28	132.89	137.68		
Program Analyst IX	Off	165.87	178.02	184.43	191.07	197.95	205.07		
Program Analyst V	Off	120.59	129.43	134.09	138.92	143.92	149.1		
Program Analyst V	On	108.01	114.56	118.28	122.12	126.09	130.19		
Program Analyst VI	Off	129.15	138.62	143.6	148.77	154.13	159.68		
Program Analyst VII	Off	133.63	143.43	148.6	153.95	159.49	165.23		
Program Analyst VIII	On	129.3	137.14	141.6	146.2	150.95	155.86		
Senior Engineer/ Scientist I	Off	157.72	169.27	175.36	181.67	188.21	194.82		
Senior Engineer/ Scientist II	Off	180.9	194.17	201.16	208.4	215.91	223.69		
									
"CAS, Inc. - IT"									
Labor Category	Site	12/11/2012 - 12/10/2013	12/11/2013 - 12/10/2014	12/11/2014 - 12/10/2015	12/11/2015 - 12/10/2016	12/11/2016 - 12/10/2017	12/11/2017 - 12/10/2018	12/11/2018 - 12/10/2019	
IT Analyst/Engineer III	On	77.5	80.6	83.82	86.15	87.79	89.46	91.25	
IT Analyst/Engineer IV	On	85	86.56	88.2	89.88	91.59	93.33	95.2	
Tech I	On	38.51	36.98	37.68	38.4	39.13	39.87	40.67	
									
CFD Research Corporation - PES									
Labor Category	Site	2/1/2013 - 2/2/2014	2/3/2014 - 2/2/2015	2/3/2015 - 2/2/2016	2/3/2016 - 2/2/2017	2/3/2017 - 2/2/2018	2/3/2018 - 2/2/2019	2/3/2019 - 2/2/2020	
Analyst 3	On	92.76	95.54	98.42	101.37	104.41	107.54	110.76	
Engineer 10	On	151.51	156.05	160.73	165.56	170.52	175.64	180.9	
Engineer 2	On	68.15	70.19	72.3	74.47	76.7	79	81.37	
Engineer 3	On	79.07	81.44	83.89	86.4	88.99	91.66	94.42	
Engineer 4	On	84.56	87.09	89.71	92.4	95.17	98.02	100.96	
Engineer 5	On	97.32	100.23	103.24	106.34	109.53	112.82	116.2	
Engineer 6	On	102.44	105.51	108.68	111.93	115.3	118.76	122.32	
Engineer 8	On	128.75	132.61	136.58	140.68	144.9	149.25	153.72	
Manager 1	On	141.74	146	150.38	154.88	159.53	164.31	169.25	
Subject Matter Expert 1	On	161.65	166.5	171.5	176.63	181.94	187.4	193.02	
Technician 1	On			47.33	48.75	50.21	51.72	53.27	
									
COLSA Corporation - PES									
Labor Category	Site	1/1/2013 - 12/31/2013	1/1/2014 - 12/31/2014	1/1/2015 - 12/31/2015	1/1/2016 - 12/31/2016	1/1/2017 - 12/31/2017	1/1/2018 - 12/31/2018	1/1/2019 - 12/31/2019	
Admin. Assist. III	On	39.1	40.27	41.48	42.72	44	45.32	46.68	
Electrical Eng. I	On	51.46	53	54.59	56.23	57.92	59.66	61.45	
Electrical Eng. II	On	72.8	74.98	77.23	79.55	81.94	84.4	86.93	
Eng. Technician I	On	31.3	32.24	33.21	34.21	35.24	36.3	37.39	
Eng. Technician III	On	50.93	52.46	54.03	55.65	57.32	59.04	60.81	
Logistics Eng. I	On	43.82	45.13	46.48	47.87	49.31	50.79	52.31	
Logistics Eng. II	On	65.26	67.22	69.24	71.32	73.46	75.66	77.93	
Systems Eng. I	On	53.63	55.24	56.9	58.61	60.37	62.18	64.04	
Systems Eng. II	On	73	75.19	77.45	79.77	82.17	84.63	87.17	
Systems Eng. III	On	97.52	100.45	103.46	106.56	109.76	113.05	116.45	
									
"Craft Designs, Inc - IT"									
Labor Category	Site	1/1/2013 - 12/31/2013	1/1/2014 - 12/31/2014	1/1/2015 - 12/31/2015	1/1/2016 - 12/31/2016	1/1/2017 - 12/31/2017	1/1/2018 - 12/31/2018	1/1/2019 - 12/31/2019	
Engineer/Scientist/Physicist Student	On	36.31	37.36	38.45	39.57	40.72	41.9	43.12	
Engineer/Scientist/Physicist/Systems Engineer SL 1	On	60.7	62.46	64.27	66.13	68.05	70.02	72.05	
Engineer/Scientist/Physicist/Systems Engineer SL 2	On	70.78	72.83	74.95	77.12	79.36	81.66	84.03	
Engineer/Scientist/Physicist/Systems Engineer SL 4	On	90.21	92.83	95.52	98.29	101.14	104.07	107.09	
Engineer/Scientist/Physicist/Systems Engineer SL 4	Off	98.56	101.42	104.36	107.39	110.5	113.7	117	
Engineer/Scientist/Physicist/Systems Engineer SL 5	On	99.46	102.34	105.31	108.36	111.5	114.73	118.06	
Engineer/Scientist/Physicist/Systems Engineer SL 9	On	138.74	142.76	146.9	151.16	155.54	160.05	164.69	
Engineer/Scientist/Physicist/Systems Engineer SL11	On	156.15	160.68	165.34	170.13	175.06	180.14	185.36	
Project Manager/Task Order Lead SL4	On	147.88	152.17	156.58	161.12	165.79	170.6	175.55	
Subject Matter Expert SL 2	On	158.99	163.6	168.34	173.22	178.24	183.41	188.73	
									
"Davidson Technologies, Inc. - PES"									
Labor Category	Site	1/5/2013 - 1/4/2014	1/5/2014 - 1/4/2015	1/5/2015 - 7/2/2016	7/3/2016 - 1/4/2017	1/5/2017 - 1/4/2018	1/5/2018 - 1/4/2019	1/5/2019 - 1/4/2020	
Engineer Scientist III	On	85.16	87.71	90.34	93.06	95.84	98.72	101.68	
Principal Investigator III	On	127.73	131.56	135.5	139.56	143.76	148.06	152.5	
Sr Principal Investigator III	On	152.25	156.81	161.52	166.36	171.36	176.49	181.79	
Sr Principal Investigator III	Off	181.32	186.75	192.36	198.12	204.07	210.2	216.5	
Sr. Engineer Scientist II	On	98.51	101.47	104.51	107.65	110.88	114.2	117.63	
Sr. Engineer Scientist III	On	112.31	115.68	119.15	122.72	126.4	130.2	134.1	
Sr. Management Tech Staff IV	On	198.34	204.29	210.42	216.74	223.24	229.94	236.83	
Sr. Management Tech Staff IV	Off	221.38	228.02	234.85	241.89	249.15	256.63	264.32	
System Engineer Analyst I	On	48.91	50.38	51.89	53.44	55.05	56.7	58.4	
Technician II	On	38.71	39.86	41.06	42.29	43.56	44.86	46.2	
									
DCS Corporation - PES									
Labor Category	Site	6/15/2012 - 6/14/2013	6/15/2013 - 6/14/2014	6/15/2014 - 6/14/2015	6/15/2015 - 6/14/2016	6/15/2016 - 6/14/2017	6/15/2017 - 6/14/2018	6/15/2018 - 6/14/2019	
Engineer II	On	65.4	67.29	69.24	71.25	73.32	75.45	77.64	
Engineer VI	On	105.5	108.56	111.71	114.95	118.28	121.72	125.24	
Subject Matter Expert 1	On	115.6	118.95	122.4	125.95	129.6	133.36	137.23	
Subject Matter Expert 2	On	125.72	129.37	133.13	136.99	140.96	145.05	149.26	
Technical Analyst I	On	55.24	56.84	58.49	60.19	61.94	63.74	65.59	
Technical Analyst III	On	80.27	82.6	84.99	87.46	89.99	92.6	95.29	
