1st Edge LLC - PSS							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Engineer/Scientist I	On	51.79	53.48	55.21	57.01	58.86	60.77
Engineer/Scientist V	On	90.25	93.19	96.21	99.34	102.57	105.9
Program Analyst I	On	70.19	72.47	74.82	77.25	79.76	82.35
Program Analyst III	On	101.22	104.5	107.9	111.4	115.02	118.76
Program Analyst IX	On	161.31	166.55	171.97	177.56	183.32	189.28
Program Analyst V	On	113.48	117.17	120.98	124.91	128.97	133.16
Program Analyst VII	On	127.15	131.29	135.55	139.96	144.51	149.2
Senior Engineer/ Scientist IV	On	217.76	224.84	232.14	239.69	247.48	255.52
							
"Alpha Beta Technologies, Inc. - PES"							
Labor Category	Site	2/17/2017 - 2/16/2018	2/17/2018 - 2/16/2019	2/17/2019 - 2/16/2020	2/17/2020 - 2/16/2021	2/17/2021 - 2/16/2022	2/17/2022 - 2/16/2023
Engineer I	On	103.07	106.16	109.35	112.63	116.01	119.49
Engineer II	On	112.91	116.3	119.79	123.37	127.07	130.88
Junior Engineer	On	85.32	87.87	90.51	93.23	96.03	98.91
Programmer Analyst I	On	54.85	56.5	58.2	59.94	61.74	63.59
Programmer Analyst II	On	95.6	98.46	101.42	104.46	107.59	110.82
Senior Engineer I	On	120.96	124.59	128.32	132.17	136.14	140.22
Senior Engineer III	On	148.49	152.95	157.54	162.26	167.13	172.14
Senior Engineer/Scientist	On	176.65	181.95	187.41	193.03	198.82	204.79
Software Engineer II	On	147.27	151.69	156.24	160.93	165.76	170.73
Technical Specialist	On	89.17	91.85	94.6	97.44	100.36	103.37
							
"Aegis Technologies Group, Inc., The - PSS"							
Labor Category	Site	10/29/2017 - 10/28/2018	10/29/2018 - 10/28/2019	10/29/2019 - 10/28/2020	10/29/2020 - 10/28/2021	10/29/2021 - 10/28/2022	10/29/2022 - 10/28/2023
Engineer I	On	48.64	49.47	50.31	51.17	52.04	52.92
Modeling and Simulation Specialist I	On	92.46	94.03	95.63	97.26	98.91	100.59
Modeling and Simulation Specialist I	Off	120.32	122.37	124.45	126.57	128.72	130.91
Modeling and Simulation Specialist II	On	115.2	117.15	119.14	121.17	123.23	125.32
Modeling and Simulation Specialist III	On	132.96	135.22	137.52	139.86	142.24	144.66
Modeling and Simulation Specialist III	Off	157.56	160.24	162.96	165.73	168.55	171.42
Research Scientist II	On	150.01	152.56	155.15	157.79	160.47	163.2
Research Scientist II	Off	169.06	171.93	174.85	177.82	180.84	183.91
Research Scientist III	On	169.85	172.74	175.68	178.67	181.71	184.8
Research Scientist III	Off	202.76	206.21	209.72	213.29	216.92	220.61
Subject Matter Expert II	On	135.27	137.57	139.91	142.29	144.71	147.17
Subject Matter Expert III	On	195.5	198.82	202.2	205.64	209.14	212.7
Systems Analyst I	On	70.53	71.73	72.95	74.19	75.45	76.73
Systems Analyst II	On	102.02	103.75	105.51	107.3	109.12	110.98
Systems Analyst III	On	120.95	123.01	125.1	127.23	129.39	131.59
							
"Archarithms, Inc - PSS"							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Program Analyst III	On	101.22	104.5	107.9	111.4	115.02	118.76
Program Analyst IV	On	104.81	108.22	111.74	115.36	119.12	122.99
Program Analyst IX	On	161.31	166.55	171.97	177.56	183.32	189.28
Program Analyst V	On	113.48	117.17	120.98	124.91	128.97	133.16
Program Analyst VI	On	121.55	125.51	129.58	133.79	138.14	142.63
Program Analyst VII	On	127.15	131.29	135.55	139.96	144.51	149.2
Program Analyst VIII	On	140.38	144.95	149.66	154.53	159.55	164.74
Senior Engineer/Scientist III	On	137.87	142.35	146.98	151.76	156.69	161.78
							
GaN Corporation - PSS							
Labor Category	Site	12/21/2016 - 12/20/2017	12/21/2017 - 12/20/2018	12/21/2018 - 12/20/2019	12/21/2019 - 12/20/2020	12/21/2020 - 12/20/2021	12/21/2021 - 12/20/2022
Engineer/ Analyst - Level 1	On	78.06	79.62	81.21	82.84	84.49	86.18
Engineer/Analyst - Level 4	On	91.79	93.63	95.5	97.41	99.36	101.34
Senior Engineer/Analyst - Level 1	On	102.87	104.93	107.03	109.17	111.35	113.58
Senior Engineer/Analyst - Level 7	On	136.77	139.51	142.3	145.14	148.04	151.01
Senior Engineer/Analyst - Level 8	On	154.21	157.29	160.44	163.65	166.92	170.26
Subject Matter Expert - Level 1	On	130.24	132.84	135.5	138.21	140.98	143.8
Technical Specialist - Level 6	On	109.02	111.2	113.42	115.69	118.01	120.37
Technical Specialist - Level 7	On	121.42	123.85	126.33	128.85	131.43	134.06
Technician - Level 7	On	89.12	90.9	92.72	94.57	96.47	98.4
							
Integration Innovation, Inc. - PSS							
Labor Category	Site	7/22/2017 - 7/21/2018	7/22/2018 - 7/21/2019	7/22/2019 - 7/21/2020	7/22/2020 - 7/21/2021	7/22/2021 - 7/21/2022	7/22/2022 - 7/21/2023
Analyst II	On	65.69	67.33	69.01	70.74	72.51	74.32
Analyst III	On	77.9	79.85	81.85	83.9	86	88.15
Analyst IV	On	96.45	98.86	101.33	103.87	106.46	109.12
Analyst VI	On	113.22	116.05	118.95	121.92	124.98	128.1
Engineer IV	On	101.37	103.9	106.5	109.16	111.89	114.69
Engineer VI	On	124.51	127.61	130.81	134.07	137.42	140.86
Engineer VIII	On	146.24	149.89	153.64	157.48	161.41	165.45
Task Order/Project Lead IV	On	153.13	156.95	160.88	164.9	169.03	173.26
Technical Specialist II	On	84.07	86.18	88.33	90.54	92.8	95.12
Technical Specialist IV	On	101.9	104.45	107.06	109.73	112.48	115.29
							
Insight International Technology (I2T) - IT							
Labor Category	Site	12/11/2016 - 12/10/2017	12/11/2017 - 12/10/2018	12/11/2018 - 12/10/2019	12/11/2019 - 12/10/2020	12/11/2020 - 12/10/2021	12/11/2021 - 12/10/2022
IT Analyst/Engineer I	On	49.82	50.76	51.72	52.7	53.7	54.73
IT Analyst/Engineer VI	On	75.28	76.71	78.16	79.65	81.16	82.7
							
"Modern Technology Solutions, Inc. (dba MTSI) - PSS"							
Labor Category	Site	10/24/2017 - 10/23/2018	10/24/2018 - 10/23/2019	10/24/2019 - 10/23/2020	10/24/2020 - 10/23/2021	10/24/2021 - 10/23/2022	10/24/2022 - 10/23/2023
Analyst I	On	91.35	93.73	96.16	98.66	101.23	103.86
Analyst II	On	73.98	75.91	77.88	79.9	81.98	84.11
Engineer II	On	83.21	85.37	87.59	89.87	92.2	94.6
Principal Engineer II	On	194.09	199.14	204.32	209.63	215.08	220.67
Principal Engineer III	On	171.76	176.23	180.81	185.51	190.33	195.28
Principal Engineer IV	On	152	155.95	160.01	164.17	168.44	172.82
Project Analyst I	On	125.7	128.97	132.32	135.76	139.29	142.91
Project Analyst II	On	115.16	118.16	121.23	124.38	127.62	130.93
Project Engineering Specialist III	On	97.85	100.39	103	105.68	108.43	111.24
Senior Analyst III	On	141.82	145.51	149.29	153.17	157.15	161.24
Senior Engineer I	On	181.86	186.59	191.44	196.42	201.52	206.76
Senior Engineer II	On	160.98	165.17	169.46	173.87	178.39	183.02
Senior Engineer III	Off	173.74	178.26	182.89	187.65	192.52	197.53
Technical Engineering Specialist II	On	60.62	62.2	63.82	65.48	67.18	68.93
Technical Engineering Specialist III	On	48.29	49.54	50.83	52.15	53.51	54.9
Technical Engineering Specialist IV	On	35.95	36.88	37.84	38.82	39.83	40.87
							
"Oasis Systems, LLC - PSS"							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Engineer/Scientist III	On	69.79	72.06	74.4	76.82	79.32	81.89
Program Analyst III	On	101.22	104.5	107.9	111.4	115.02	118.76
Program Analyst IV	On	104.81	108.22	111.74	115.36	119.12	122.99
Program Analyst IX	On	161.31	166.55	171.97	177.56	183.32	189.28
Program Analyst V	On	113.48	117.17	120.98	124.91	128.97	133.16
Program Analyst VI	On	121.55	125.51	129.58	133.79	138.14	142.63
Program Analyst VII	On	127.15	131.29	135.55	139.96	144.51	149.2
Program Analyst VIII	On	140.38	144.95	149.66	154.53	159.55	164.74
Senior Engineer/ Scientist IV	On	217.76	224.84	232.14	239.69	247.48	255.52
							
"Oasis Systems, LLC - IT"							
Labor Category	Site	12/11/2016 - 12/10/2017	12/11/2017 - 12/10/2018	12/11/2018 - 12/10/2019	12/11/2019 - 12/10/2020	12/11/2020 - 12/10/2021	12/11/2021 - 12/10/2022
IT Analyst/Engineer X	On	165.02	168.16	171.35	174.61	177.92	181.31
							
Paragon Research Corporation - PSS							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Engineer/Scientist IV	On	80.34	82.95	85.64	88.43	91.3	94.27
Engineer/Scientist V	On	90.25	93.19	96.21	99.34	102.57	105.9
Program Analyst IX	On	161.31	166.55	171.97	177.56	183.32	189.28
Program Analyst VII	On	127.15	131.29	135.55	139.96	144.51	149.2
Program Analyst VIII	On	140.38	144.95	149.66	154.53	159.55	164.74
Senior Engineer/ Scientist I	On	103.48	106.85	110.32	113.9	117.61	121.43
Senior Engineer/ Scientist II	On	124.85	128.91	133.1	137.43	141.89	146.51
Senior Engineer/ Scientist IV	On	217.76	224.84	232.14	239.69	247.48	255.52
Senior Engineer/Scientist III	On	137.87	142.35	146.98	151.76	156.69	161.78
							
"PeopleTec, Inc. - PSS"							
Labor Category	Site	1/29/2017 - 1/28/2018	1/29/2018 - 1/28/2019	1/29/2019 - 1/28/2020	1/29/2020 - 1/28/2021	1/29/2021 - 1/28/2022	1/29/2022 - 1/28/2023
Administrative 2	On	40.25	41.42	42.63	43.86	45.14	46.44
Engineer/Scientist L1	On	95.66	98.44	101.29	104.23	107.25	110.36
Engineer/Scientist L1	Off	108.71	111.86	115.1	118.44	121.87	125.4
Engineer/Scientist L3	On	134.51	138.41	142.42	146.55	150.8	155.17
Engineer/Scientist L4	Off	159.95	164.59	169.36	174.27	179.32	184.52
Jr. Engineer I	On	69.21	71.22	73.29	75.42	77.61	79.86
Jr. Engineer II	On	82.53	84.92	87.38	89.92	92.52	95.21
Sr. Engineer/Scientist L1	On	147.01	151.27	155.66	160.18	164.82	169.6
Sr. Engineer/Scientist L2	On	155.06	159.55	164.18	168.94	173.84	178.89
Sr. Engineer/Scientist L2	Off	176.2	181.31	186.57	191.98	197.55	203.28
Subject Matter Expert III	On	201	206.83	212.83	219	225.35	231.89
Subject Matter Expert III	Off	228.41	235.03	241.85	248.86	256.08	263.51
