"Aegis Technologies Group, Inc., The - PSS"							
Labor Category	Site	10/29/2017 - 10/28/2018	10/29/2018 - 10/28/2019	10/29/2019 - 10/28/2020	10/29/2020 - 10/28/2021	10/29/2021 - 10/28/2022	10/29/2022 - 10/28/2023
Engineer I	On	48.64	49.47	50.31	51.17	52.04	52.92
Modeling and Simulation Specialist I	On	92.46	94.03	95.63	97.26	98.91	100.59
Modeling and Simulation Specialist I	Off	120.32	122.37	124.45	126.57	128.72	130.91
Modeling and Simulation Specialist II	On	115.2	117.16	119.15	121.18	123.24	125.34
Modeling and Simulation Specialist III	On	132.96	135.22	137.52	139.86	142.24	144.66
Modeling and Simulation Specialist III	Off	157.56	160.24	162.96	165.73	168.55	171.42
Research Scientist II	On	150.01	152.56	155.15	157.79	160.47	163.2
Research Scientist II	Off	169.06	171.93	174.85	177.82	180.84	183.91
Research Scientist III	On	169.85	172.74	175.68	178.67	181.71	184.8
Research Scientist III	Off	202.76	206.21	209.72	213.29	216.92	220.61
Subject Matter Expert II	On	135.27	137.57	139.91	142.29	144.71	147.17
Subject Matter Expert III	On	195.5	198.82	202.2	205.64	209.14	212.7
Systems Analyst I	On	70.53	71.73	72.95	74.19	75.45	76.73
Systems Analyst II	On	102.02	103.75	105.51	107.3	109.12	110.98
Systems Analyst III	On	120.95	123.01	125.1	127.23	129.39	131.59
							
"Davidson Technologies, Inc. - PSS"							
Labor Category	Site	1/5/2018 - 1/4/2019	1/5/2019 - 1/4/2020	1/5/2020 - 1/4/2021	1/5/2021 - 1/4/2022	1/5/2022 - 1/4/2023	1/5/2023 - 1/4/2024
Eng Scientist II	On	96.06	98.95	101.91	104.97	108.12	111.36
Principal Investigator II	On	138.5	142.65	146.93	151.34	155.88	160.56
Principal Investigator III	On	155.05	159.7	164.49	169.42	174.5	179.74
Sr. Eng Scientist II	On	119.58	123.17	126.86	130.67	134.59	138.63
Sr. Eng Scientist III	On	136.34	140.43	144.64	148.98	153.45	158.05
Systems Eng Analyst I	On	59.37	61.15	62.98	64.87	66.82	68.82
Systems Eng Analyst II	On	69.94	72.04	74.2	76.43	78.72	81.08
							
"deciBel Research, Inc - PSS"							
Labor Category	Site	10/31/2017 - 10/30/2018	10/31/2018 - 10/30/2019	10/31/2019 - 10/30/2020	10/31/2020 - 10/30/2021	10/31/2021 - 10/30/2022	10/31/2022 - 10/30/2023
Analyst SL 2	On	72.91	74.22	75.56	76.92	78.3	79.71
Analyst SL 4	On	94.71	96.42	98.16	99.92	101.72	103.55
Analyst SL 6	On	128.18	130.48	132.83	135.22	137.65	140.13
Analyst SL 6	Off	141.64	144.19	146.79	149.43	152.12	154.86
Engineer/Scientist SL 6	On	132.81	135.2	137.63	140.11	142.63	145.2
Engineer/Scientist SL 6	Off	146.74	149.39	152.08	154.81	157.6	160.44
Engineer/Scientist SL 7	Off	169.64	172.69	175.8	178.97	182.19	185.47
Engineer/Scientist SL 8	On	167.55	170.57	173.64	176.76	179.94	183.18
Program Manager SL 4	On	196.68	200.22	203.82	207.49	211.22	215.02
Subject Matter Expert SL 3	On	231.5	235.67	239.91	244.23	248.63	253.11
							
"Dynetics, Inc. - PSS"							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Administrative Support 3	Off	48.17	48.9	49.63	50.38	51.13	51.9
Engineer 2	On	64.03	64.99	65.96	66.95	67.96	68.98
Engineer 3	On	80.17	81.38	82.6	83.84	85.1	86.38
Engineer 3	Off	81.95	83.19	84.44	85.71		88.3
Engineer 4	On	95.08	96.5	97.95	99.41	100.91	102.42
Engineer 5	On	112.83	114.53	116.24	117.99	119.76	121.56
Engineer 5	Off	115.34	117.07	118.83	120.61	122.42	124.26
Program Analyst 6	On	93.77	95.18	96.61	98.06	99.52	101.02
Program Analyst 9	On	120.87	122.68	124.52	126.39	128.29	130.21
Program Analyst 9	Off	123.56	125.41	127.28	129.2	131.14	133.11
Senior Engineer 1	On	124.76	126.63	128.53	130.46	132.41	134.4
Senior Engineer 1	Off	127.53	129.44	131.39	133.35	135.35	137.38
Senior Engineer 2	Off	143.83	145.99	148.18	150.41	152.66	154.96
Senior Engineer 3	On	153.07	155.37	157.7	160.07	162.47	164.91
Senior Engineer 3	Off	156.47	158.82	161.2	163.62	166.08	168.57
Senior Engineer 4	On	180.27	182.97	185.72	188.51	191.33	194.2
Senior Engineer 4	Off	184.28	187.04	189.84	192.69	195.58	198.52
Technician 2	On	51.3	52.07	52.86	53.65	54.46	55.27
Technician 2	Off	52.36	53.14	53.95	54.76	55.58	56.41
							
GaN Corporation - PSS							
Labor Category	Site	12/21/2017 - 12/20/2018	12/21/2018 - 12/20/2019	12/21/2019 - 12/20/2020	12/21/2020 - 12/20/2021	12/21/2021 - 12/20/2022	12/21/2022 - 12/20/2023
Program/Project Manager - Level 2	On	106.66	108.79	110.96	113.18	115.44	117.74
Program/Project Manager - Level 4	On	118.62	120.99	123.41	125.88	128.4	130.97
Senior Engineer/Analyst - Level 1	On	87.09	88.83	90.61	92.42	94.27	96.16
Senior Engineer/Analyst - Level 7	On	128.35	130.92	133.54	136.21	138.93	141.71
Subject Matter Expert - Level 3	On	154.79	157.89	161.05	164.27	167.55	170.9
Technical Specialist - Level 6	On	97.86	99.81	101.81	103.84	105.92	108.04
							
"Gleason Research Associates, Inc. - PSS"							
Labor Category	Site	7/29/2017 - 7/28/2018	7/29/2018 - 7/28/2019	7/29/2019 - 7/28/2020	7/29/2020 - 7/28/2021	7/29/2021 - 7/28/2022	7/29/2022 - 7/28/2023
Analyst/Specialist - L3	On	136.23	140.45	144.8	149.29	153.92	158.69
Analyst/Specialist - L5	On	116.86	120.48	124.21	128.06	132.03	136.12
Analyst/Specialist - L7	On	93.01	95.89	98.86	101.92	105.08	108.34
Engineer Scientist - L4	On	120.34	124.07	127.92	131.89	135.98	140.2
							
"Hill Technical Solutions, Inc. - PSS"							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Administrative Support 2	On	39.41		40.6	41.21	41.82	42.45
Program Analyst 1	On	60.24	61.14	62.06	62.99	63.94	64.9
Program Analyst 4	On	82.86	84.1	85.36	86.64	87.93	89.25
Program Analyst 7	On	100.13	101.63	103.16	104.71	106.28	107.87
Program Analyst 8	On	109.94	111.59	113.26	114.96	116.68	118.43
Program Analyst 9	On	123.56	125.41	127.28	129.2	131.14	133.11
Senior Engineer 1	On	127.53	129.44	131.39	133.35	135.35	137.38
Senior Engineer 2	On	143.83	145.99	148.18	150.41	152.66	154.96
Senior Engineer 3	On	156.47	158.82	161.2	163.62	166.08	168.57
Senior Engineer 4	On	184.28	187.04	189.84	192.69	195.58	198.52
							
"Integration Innovation, Inc. - PSS"							
Labor Category	Site	7/22/2017 - 7/21/2018	7/22/2018 - 7/21/2019	7/22/2019 - 7/21/2020	7/22/2020 - 7/21/2021	7/22/2021 - 7/21/2022	7/22/2022 - 7/21/2023
Administrative Specialist III	On	51.75	53.05	54.37	55.73	57.12	58.55
Analyst I	On	59.81	61.31	62.84	64.41	66.03	67.68
Analyst III	On	74.01	75.86	77.76	79.71	81.7	83.74
Analyst III	Off	80.55	82.56	84.63	86.74	88.91	91.13
Engineer III	On	90.33	92.59	94.91	97.28	99.71	102.2
Engineer IX	On	150.52	154.28	158.14	162.09	166.15	170.3
