"OASYS, Inc. - PSS"							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Engineer/Scientist V	On	90.25	93.19	96.21	99.34	102.57	105.9
Engineer/Scientist V	Off	103.86	107.23	110.72	114.31	118.03	121.87
Program Analyst I	On	70.19	72.47	74.82	77.25	79.76	82.35
Program Analyst I	Off	75.87	78.34	80.89	83.52	86.23	89.03
Program Analyst IX	On	161.31	166.55	171.97	177.56	183.32	189.28
Program Analyst IX	Off	186.63	192.69	198.96	205.43	212.11	219
Program Analyst V	On	113.48	117.17	120.98	124.91	128.97	133.16
Program Analyst V	Off	129.78	134	138.35	142.85	147.5	152.29
Program Analyst VI	On	121.55	125.51	129.58	133.79	138.14	142.63
Program Analyst VI	Off	139	143.51	148.17	152.99	157.96	163.09
Program Analyst VIII	On	140.38	144.95	149.66	154.53	159.55	164.74
Program Analyst VIII	Off	162.42	167.7	173.14	178.77	184.59	190.59
Senior Engineer/ Scientist I	On	103.48	106.85	110.32	113.9	117.61	121.43
Senior Engineer/ Scientist I	Off	115.1	118.84	122.7	126.69	130.81	135.06
Senior Engineer/ Scientist IV	On	217.76	224.84	232.14	239.69	247.48	255.52
Senior Engineer/ Scientist IV	Off	251.59	259.76	268.2	276.91	285.91	295.2
Tech I	On	48.51	50.09	51.72	53.4	55.14	56.93
